# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.entities.ms,1701257014355000000,1701257032424000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1701257014355000000,1701257032424000000,1
jps.library.entities.serializer.load.entities.ms,1701257014355000000,1701257032424000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1701257014355000000,1701257032424000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1701257014355000000,1701257032424000000,9
workspaceModel.delayed.project.synchronizer.sync.ms,1701257014355000000,1701257032424000000,0
jps.facet.change.listener.init.bridge.ms,1701257014355000000,1701257032424000000,0
jps.global.initialize.library.bridges.ms,1701257014355000000,1701257032424000000,1
workspaceModel.global.updates.count,1701257014355000000,1701257032424000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1701257014355000000,1701257032424000000,114
workspaceModel.global.apply.state.to.project.ms,1701257014355000000,1701257032424000000,20
jps.storage.jps.conf.reader.load.component.ms,1701257014355000000,1701257032424000000,2
workspaceModel.moduleBridge.before.changed.ms,1701257014355000000,1701257032424000000,0
jps.global.initialize.library.bridges.after.loading.ms,1701257014355000000,1701257032424000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1701257014355000000,1701257032424000000,23
jps.global.get.libraries.ms,1701257014355000000,1701257032424000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1701257014355000000,1701257032424000000,2
workspaceModel.save.cache.to.file.ms,1701257014355000000,1701257032424000000,162
workspaceModel.sync.entities.ms,1701257014355000000,1701257032424000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1701257014355000000,1701257032424000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1701257014355000000,1701257032424000000,0
jps.library.entities.serializer.save.entities.ms,1701257014355000000,1701257032424000000,0
workspaceModel.load.cache.metadata.from.file.ms,1701257014355000000,1701257032424000000,0
jps.global.handle.before.change.events.ms,1701257014355000000,1701257032424000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1701257014355000000,1701257032424000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1701257014355000000,1701257032424000000,0
jps.facet.change.listener.process.change.events.ms,1701257014355000000,1701257032424000000,0
jps.save.global.entities.ms,1701257014355000000,1701257032424000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1701257014355000000,1701257032424000000,16
workspaceModel.mutableEntityStorage.has.same.entities.ms,1701257014355000000,1701257032424000000,0
jps.reload.project.entities.ms,1701257014355000000,1701257032424000000,0
jps.save.changed.project.entities.ms,1701257014355000000,1701257032424000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1701257014355000000,1701257032424000000,30
workspaceModel.load.cache.from.file.ms,1701257014355000000,1701257032424000000,0
jps.apply.loaded.storage.ms,1701257014355000000,1701257032424000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1701257014355000000,1701257032424000000,1
jps.global.get.library.by.name.ms,1701257014355000000,1701257032424000000,0
workspaceModel.moduleBridge.update.option.ms,1701257014355000000,1701257032424000000,0
jps.global.get.library.ms,1701257014355000000,1701257032424000000,0
jps.load.initial.state.ms,1701257014355000000,1701257032424000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1701257014355000000,1701257032424000000,0
jps.project.serializers.save.ms,1701257014355000000,1701257032424000000,0
jps.artifact.entities.serializer.save.entities.ms,1701257014355000000,1701257032424000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1701257014355000000,1701257032424000000,18
jps.app.storage.content.writer.save.component.ms,1701257014355000000,1701257032424000000,0
jps.artifact.entities.serializer.load.entities.ms,1701257014355000000,1701257032424000000,0
jps.global.handle.changed.events.ms,1701257014355000000,1701257032424000000,0
