13:44:40.261 |I| Core                           | RequestBuilder thread:10       | MsBuild process with Id = 92
13:44:40.262 |I| Core                           | RequestBuilder thread:10       | MsBuild location = /usr/share/dotnet/sdk/8.0.100/MSBuild.dll
13:44:40.263 |I| Core                           | RequestBuilder thread:10       | ServerGC = False
13:44:40.263 |I| Core                           | RequestBuilder thread:10       | 
13:44:40.264 |I| Core                           | RequestBuilder thread:10       | Start ControllerTask...
13:44:40.265 |I| Core                           | RequestBuilder thread:10       | Detected version: 17.8
13:44:40.265 |I| Core                           | RequestBuilder thread:10       | Creating SocketWire with port = 44089
13:44:40.271 |I| Core                           | RequestBuilder thread:10       | Create protocol...
13:44:40.282 |I| Core                           | RequestBuilder thread:10       | Create MsBuildModel and advise for new sessions...
13:44:40.289 |I| Core                           | RequestBuilder thread:10       | Subscribe for changes...
13:44:40.289 |I| Core                           | RequestBuilder thread:10       | Setup process watchdog...
13:44:40.290 |I| Core                           | RequestBuilder thread:10       | Run dispatcher...
13:44:40.291 |I| ProcessWatchdog                | WatchParentPid:45:15           | Monitoring parent process PID:45
13:44:40.321 |I| Core                           | RequestBuilder thread:10       | Get protocol session 'RdProjectModelSession'
13:44:40.323 |I| Core                           | RequestBuilder thread:10       | Msbuild session 'ProjectModelSessionHost' created
13:44:40.329 |I| Core                           | RequestBuilder thread:10       | Change Verbosity to INFO
13:44:40.343 |I| ProjectModel                   | RequestBuilder thread:10       | Reloading 1 project(s) in 1 node(s)...
13:44:40.343 |I| ProjectModel                   | RequestBuilder thread:10       | Reason: ColdStartup
13:44:40.346 |I| Build                          | MSBuild LoggingService events queue pump: 42708074:17 | Build started.
13:44:40.347 |I| BuildQueue                     | RequestBuilder thread:10       | Build queue: True
13:44:40.437 |I| BuildQueue                     | RequestBuilder thread:10       | Build immediately: \data\project\ConsoleApplication1\ConsoleApplication1.csproj
13:44:40.439 |I| Build                          | RequestBuilder thread:10       | Start build 'ConsoleApplication1.csproj' with 1 target frameworks
13:44:40.441 |I| Build                          | RequestBuilder thread:10       | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
13:44:40.604 |I| Build                          | .NET TP Worker:5               | Finish build part [1/1] for project 'ConsoleApplication1.csproj': Success
13:44:40.605 |I| Build                          | .NET TP Worker:5               | Finish build project 'ConsoleApplication1.csproj': Success
13:44:40.734 |I| Build                          | MSBuild LoggingService events queue pump: 42708074:17 | Build succeeded.
13:44:40.737 |I| ProjectModel                   | RequestBuilder thread:10       | Reloading has finished, statistic: 
	Total: 0.39 sec
	Binding: 0.03 sec
	Evaluation: 0.07 sec
13:44:43.058 |I| Core                           | RequestBuilder thread:10       | Msbuild session 'ProjectModelSessionHost' was terminated
13:44:43.059 |I| Core                           | RequestBuilder thread:10       | Connection lost, kill msbuild
